study,size,T,dep_density,budget_tightness,deadline_pressure,t_crqc,risk_form,residual_factor,cluster_frac,delayed_frac,index,instance_seed,n_resamples_infeasible,realized_tightness,n_deps,n_mandated,n_clusters,opt_status,opt_risk,opt_cost,opt_bound,opt_mipgap,opt_walltime,opt_nvars,highest_risk_risk,highest_risk_cost,highest_risk_feasible,highest_risk_ddlviol,highest_risk_gap,risk_per_cost_risk,risk_per_cost_cost,risk_per_cost_feasible,risk_per_cost_ddlviol,risk_per_cost_gap,edf_risk,edf_cost,edf_feasible,edf_ddlviol,edf_gap,spt_risk,spt_cost,spt_feasible,spt_ddlviol,spt_gap,random_risk,random_cost,random_feasible,random_ddlviol,random_gap
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,0,2000,0,0.3714,24,8,1,OPTIMAL,826,104,826.0,0.0,0.193,355,846,104,1,0,0.024213,1246,104,1,0,0.508475,935,104,1,0,0.131961,1301,104,1,0,0.575061,1042,104,1,0,0.261501
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,1,9919,0,0.525,26,8,1,OPTIMAL,828,84,828.0,0.0,0.781,362,1083,84,1,0,0.307971,983,84,1,0,0.187198,1202,84,1,0,0.451691,1688,84,1,0,1.038647,1043,84,1,0,0.259662
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,2,17838,0,0.5611,34,8,1,OPTIMAL,881,101,881.0,0.0,0.733,349,1115,101,1,0,0.265607,1109,101,1,0,0.258797,1200,101,1,0,0.362089,1207,101,1,0,0.370034,1071,101,1,0,0.215664
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,3,25757,0,0.4688,24,8,1,OPTIMAL,198,75,198.0,0.0,0.458,346,419,75,1,0,1.116162,421,75,1,0,1.126263,580,75,1,0,1.929293,556,75,1,0,1.808081,343,75,1,0,0.732323
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,4,452592,4,0.3462,28,8,1,OPTIMAL,375,90,375.0,0.0,0.266,353,662,90,1,0,0.765333,607,90,1,0,0.618667,984,90,1,0,1.624,875,90,1,0,1.333333,733,90,1,0,0.954667
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,5,146324,1,0.545,21,9,1,OPTIMAL,768,109,768.0,0.0,0.619,369,1151,109,1,0,0.498698,980,109,1,0,0.276042,1636,109,1,0,1.130208,1119,109,1,0,0.457031,1120,109,1,0,0.458333
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,6,49514,0,0.575,33,8,1,OPTIMAL,959,92,959.0,0.0,0.235,370,1413,92,1,0,0.47341,1413,92,1,0,0.47341,1528,92,1,0,0.593326,1731,92,1,0,0.805005,1621,92,1,0,0.690302
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,7,162162,1,0.4875,25,9,1,OPTIMAL,251,78,251.0,0.0,0.134,362,307,78,1,0,0.223108,381,78,1,0,0.517928,396,78,1,0,0.577689,554,78,1,0,1.207171,482,78,1,0,0.920319
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,8,65352,0,0.3038,35,8,1,OPTIMAL,466,79,466.0,0.0,0.247,315,504,79,1,0,0.081545,504,79,1,0,0.081545,616,79,1,0,0.321888,515,79,1,0,0.10515,562,79,1,0,0.206009
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,9,73271,0,0.4556,40,8,1,OPTIMAL,1706,82,1706.0,0.0,0.304,363,1952,82,1,0,0.144197,1952,82,1,0,0.144197,1951,82,1,0,0.143611,1906,82,1,0,0.117233,2048,82,1,0,0.200469
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,10,81190,0,0.4944,30,9,1,OPTIMAL,1075,89,1075.0,0.0,0.292,367,1321,89,1,0,0.228837,1321,89,1,0,0.228837,1467,89,1,0,0.364651,2266,89,1,0,1.107907,1724,89,1,0,0.603721
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,11,193838,1,0.375,26,8,1,OPTIMAL,454,105,454.0,0.0,0.389,342,590,105,1,0,0.299559,482,105,1,0,0.061674,780,105,1,0,0.718062,814,105,1,0,0.792952,651,105,1,0,0.433921
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,12,97028,0,0.5333,29,8,1,OPTIMAL,1356,80,1356.0,0.0,0.534,348,1428,80,1,0,0.053097,1533,80,1,0,0.130531,1653,80,1,0,0.219027,1942,80,1,0,0.432153,1892,80,1,0,0.39528
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,13,209676,1,0.4091,33,8,1,OPTIMAL,1225,90,1225.0,0.0,0.189,322,1324,90,1,0,0.080816,1324,90,1,0,0.080816,1337,90,1,0,0.091429,1442,90,1,0,0.177143,1391,90,1,0,0.13551
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,14,322324,2,0.45,28,8,1,OPTIMAL,662,72,662.0,0.0,0.422,348,799,72,1,0,0.206949,1076,72,1,0,0.625378,830,72,1,0,0.253776,1180,72,1,0,0.782477,984,72,1,0,0.486405
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,15,330243,2,0.5056,31,8,1,OPTIMAL,879,91,879.0,0.0,0.153,348,1005,91,1,0,0.143345,1006,91,1,0,0.144482,1517,91,1,0,0.725825,1450,91,1,0,0.649602,1384,91,1,0,0.574516
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,16,233433,1,0.4722,27,8,1,OPTIMAL,895,85,895.0,0.0,0.382,351,1309,85,1,0,0.46257,1239,85,1,0,0.384358,1420,85,1,0,0.586592,1618,85,1,0,0.807821,1617,85,1,0,0.806704
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,17,346081,2,0.5062,23,8,1,OPTIMAL,825,81,825.0,0.0,0.423,367,1227,81,1,0,0.487273,1229,81,1,0,0.489697,1312,81,1,0,0.590303,1142,81,1,0,0.384242,1070,81,1,0,0.29697
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,18,458729,3,0.55,27,8,1,OPTIMAL,601,88,601.0,0.0,0.68,365,901,88,1,0,0.499168,1044,88,1,0,0.737105,1041,88,1,0,0.732113,1147,88,1,0,0.908486,1143,88,1,0,0.90183
size,20,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,19,257190,1,0.5278,26,9,1,OPTIMAL,812,95,812.0,0.0,0.427,368,1193,95,1,0,0.469212,1170,95,1,0,0.440887,1967,95,1,0,1.422414,1230,95,1,0,0.514778,1805,95,1,0,1.222906
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,0,2000,0,0.5909,41,13,2,OPTIMAL,4862,92,4862.0,0.0,0.789,554,5260,92,1,0,0.081859,5222,92,1,0,0.074044,5478,92,1,0,0.126697,5553,92,1,0,0.142123,5541,92,1,0,0.139654
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,1,9919,0,0.5708,48,13,2,OPTIMAL,1010,137,1010.0,0.0,16.224,551,1370,137,1,0,0.356436,1394,137,1,0,0.380198,1767,137,1,0,0.749505,1676,137,1,0,0.659406,1700,137,1,0,0.683168
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,2,17838,0,0.5583,46,13,2,OPTIMAL,1859,134,1859.0,0.0,3.875,502,2405,134,1,0,0.293706,2916,134,1,0,0.568585,2339,134,1,0,0.258203,3432,134,0,1,,2511,134,1,0,0.350726
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,3,25757,0,0.5875,41,13,2,OPTIMAL,1364,141,1364.0,0.0,4.31,554,1899,141,1,0,0.392229,2123,141,1,0,0.556452,2576,141,1,0,0.888563,2372,141,1,0,0.739003,1975,141,1,0,0.447947
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,4,1290424,12,0.5591,39,14,2,OPTIMAL,574,123,574.0,0.0,2.335,526,756,123,1,0,0.317073,760,123,1,0,0.324042,967,123,1,0,0.684669,1151,123,1,0,1.005226,1153,123,1,0,1.008711
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,5,41595,0,0.595,46,12,2,OPTIMAL,1686,119,1686.0,0.0,2.441,495,2354,119,1,0,0.396204,2351,119,1,0,0.394425,2290,119,1,0,0.358244,2665,119,1,0,0.580664,2174,119,1,0,0.289442
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,6,49514,0,0.5875,44,13,2,OPTIMAL,1895,141,1895.0,0.0,3.696,561,8441,34,0,11,,8441,34,0,11,,8443,34,0,11,,8441,34,0,11,,8443,34,0,11,
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,7,371620,3,0.565,41,13,2,OPTIMAL,1931,113,1931.0,0.0,0.485,471,2128,113,1,0,0.10202,2006,113,1,0,0.03884,2711,113,1,0,0.403936,3114,113,1,0,0.612636,2244,113,1,0,0.162092
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,8,65352,0,0.5154,42,13,2,OPTIMAL,1343,134,1343.0,0.0,4.981,469,1520,134,1,0,0.131794,1603,134,1,0,0.193596,1575,134,1,0,0.172748,2218,134,1,0,0.651526,1820,134,1,0,0.355175
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,9,73271,0,0.5179,47,12,2,OPTIMAL,1585,145,1585.0,0.0,0.853,473,1793,145,1,0,0.13123,1894,145,1,0,0.194953,2153,145,1,0,0.35836,2018,145,1,0,0.273186,1943,145,1,0,0.225868
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,10,185919,1,0.5727,47,13,2,OPTIMAL,1242,126,1242.0,0.0,3.821,552,2769,126,1,0,1.229469,2470,126,1,0,0.988728,1897,126,1,0,0.527375,2210,126,1,0,0.779388,1518,126,1,0,0.222222
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,11,403296,3,0.5346,40,13,2,OPTIMAL,643,139,643.0,0.0,0.975,521,1220,139,1,0,0.897356,1435,139,1,0,1.231726,1508,139,1,0,1.345257,1586,139,1,0,1.466563,1605,139,1,0,1.496112
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,12,97028,0,0.5654,50,12,2,OPTIMAL,2707,147,2707.0,0.0,3.729,494,2865,147,1,0,0.058367,2914,147,1,0,0.076468,3763,147,1,0,0.3901,2978,147,1,0,0.100111,3794,147,1,0,0.401552
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,13,314405,2,0.6,41,13,2,OPTIMAL,1037,144,1037.0,0.0,16.123,554,1432,144,1,0,0.380906,1676,144,1,0,0.616201,3403,144,1,0,2.281581,3495,144,1,0,2.370299,2475,144,1,0,1.386692
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,14,112866,0,0.5385,44,12,2,OPTIMAL,978,140,978.0,0.0,17.597,543,1839,140,1,0,0.880368,2142,140,1,0,1.190184,2344,140,1,0,1.396728,2480,140,1,0,1.535787,1978,140,1,0,1.022495
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,15,120785,0,0.4536,47,13,2,OPTIMAL,804,127,804.0,0.0,3.523,535,1078,127,1,0,0.340796,1163,127,1,0,0.446517,1505,127,1,0,0.871891,1368,127,1,0,0.701493,1341,127,1,0,0.66791
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,16,128704,0,0.5667,40,13,2,OPTIMAL,1581,136,1581.0,0.0,2.774,519,1919,136,1,0,0.213789,1841,136,1,0,0.164453,2122,136,1,0,0.342188,2189,136,1,0,0.384567,2130,136,1,0,0.347249
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,17,136623,0,0.55,43,12,2,OPTIMAL,1425,154,1425.0,0.0,1.535,514,1803,154,1,0,0.265263,2179,154,1,0,0.529123,2398,154,1,0,0.682807,2314,154,1,0,0.62386,1891,154,1,0,0.327018
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,18,144542,0,0.5786,45,12,2,OPTIMAL,1046,162,1046.0,0.0,40.129,545,1594,162,1,0,0.523901,2024,162,1,0,0.93499,2017,162,1,0,0.928298,1873,162,1,0,0.790631,2195,162,1,0,1.09847
size,30,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,19,257190,1,0.5727,30,13,2,OPTIMAL,1421,126,1421.0,0.0,15.947,548,2186,126,1,0,0.538353,2326,126,1,0,0.636875,3050,126,1,0,1.146376,2646,126,1,0,0.862069,3319,126,1,0,1.335679
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,0,2000,0,0.5941,74,18,2,OPTIMAL,2316,202,2316.0,0.0,74.178,775,3085,202,1,0,0.332038,3409,202,1,0,0.471934,4556,202,1,0,0.967185,4025,202,1,0,0.73791,4277,202,1,0,0.846718
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,1,9919,0,0.5917,64,20,2,FEASIBLE,1380,213,1019.0,0.26159,75.082,803,1873,213,1,0,,1961,213,1,0,,2489,213,1,0,,2151,213,1,0,,2170,213,1,0,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,2,17838,0,0.5694,66,20,2,OPTIMAL,1547,205,1547.0,0.0,29.692,814,3036,205,1,0,0.962508,2610,205,1,0,0.687136,3162,205,1,0,1.043956,3224,205,1,0,1.084034,3379,205,1,0,1.184228
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,3,25757,0,0.5971,75,19,2,FEASIBLE,2750,203,2157.0,0.21564,75.08,727,3277,203,1,0,,3311,203,1,0,,3492,203,1,0,,4059,203,1,0,,3659,203,1,0,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,4,33676,0,0.6,65,20,2,FEASIBLE,1838,216,1583.0,0.13874,75.35,767,8880,121,0,10,,9020,121,0,10,,8991,121,0,10,,9347,121,0,10,,8865,121,0,10,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,5,146324,1,0.5735,60,19,2,OPTIMAL,1604,195,1604.0,0.0,52.068,793,15427,46,0,13,,15428,46,0,13,,15437,46,0,13,,15439,46,0,13,,15440,46,0,13,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,6,49514,0,0.5722,73,19,2,OPTIMAL,2297,206,2297.0,0.0,8.577,755,3067,206,1,0,0.33522,3013,206,1,0,0.311711,2973,206,1,0,0.294297,4030,206,1,0,0.754462,3135,206,1,0,0.364824
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,7,57433,0,0.5969,53,20,2,FEASIBLE,2049,191,1544.0,0.24646,75.029,773,2905,191,1,0,,2959,191,1,0,,3300,191,1,0,,3763,191,1,0,,3344,191,1,0,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,8,65352,0,0.5778,63,20,2,FEASIBLE,1774,208,1191.0,0.32864,75.064,759,3086,208,1,0,,2923,208,1,0,,2738,208,1,0,,2740,208,1,0,,3092,208,1,0,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,9,73271,0,0.5938,71,18,2,OPTIMAL,5152,190,5152.0,0.0,3.93,697,12237,100,0,12,,12249,100,0,12,,12367,100,0,12,,12459,100,0,12,,12341,100,0,12,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,10,81190,0,0.5778,64,20,2,OPTIMAL,3780,208,3780.0,0.0,8.162,723,4681,208,1,0,0.23836,4915,208,1,0,0.300265,4862,208,1,0,0.286243,5280,208,1,0,0.396825,4860,208,1,0,0.285714
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,11,89109,0,0.5722,72,20,2,OPTIMAL,2374,206,2374.0,0.0,30.16,750,3172,206,1,0,0.336142,3116,206,1,0,0.312553,3887,206,1,0,0.637321,3463,206,1,0,0.458719,3253,206,1,0,0.370261
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,12,97028,0,0.5941,65,19,2,FEASIBLE,2437,202,2183.0,0.10423,75.249,771,3258,202,1,0,,3607,202,1,0,,3994,202,1,0,,3687,202,1,0,,4022,202,1,0,
size,45,20,0.4,0.6,0.4,13,step,0.1,0.1,0.15,13,209676,1,0.5824,76,19,2,OPTIMAL,2930,198,2930.0,0.0,7.138,706,3692,198,1,0,0.260068,3496,198,1,0,0.193174,4563,198,1,0,0.557338,3721,198,1,0,0.269966,4180,198,1,0,0.426621
